Author,Citation_count,Figures,Pages,Pub,Title,Year
"[u'Pijpers, F. P.', u'Pardo, J. R.', u'Bujarrabal, V.']",18,,7.0,Astronomy and Astrophysics,[u'Short time scale monitoring of SiO sources'],1994
"[u'Zaggia, S. R.', u'Capaccioli, M.', u'Piotto, G.']",16,8.0,6.0,Astronomy and Astrophysics,[u'High resolution kinematics of galactic globular clusters. II. On the significance of velocity dispersion measurements.'],1993
"[u'Bond, J. Richard', u'Crittenden, Robert', u'Davis, Richard L.', u'Efstathiou, George', u'Steinhardt, Paul J.']",150,,10.0,Physical Review Letters,[u'Measuring cosmological parameters with cosmic microwave background experiments'],1994
"[u'Pen, Ue-Li']",4,,15.0,The Astrophysical Journal,[u'A General Class of Self-similar Self-gravitating Fluids'],1994
"[u'Brandenberger, Robert H.', u'Davis, Anne-Christine']",0,,7.0,ArXiv e-prints,[u'Electroweak Baryogenesis with a Second Order Phase Transition'],1992
"[u'Bennett, C. L.', u'Fixsen, D. J.', u'Hinshaw, G.', u'Mather, J. C.', u'Moseley, S. H.', u'Wright, E. L.', u'Eplee, R. E., Jr.', u'Gales, J.', u'Hewagama, T.', u'Isaacman, R. B.', u'Shafer, R. A.', u'Turpie, K.']",155,5.0,32.0,The Astrophysical Journal,[u'Morphology of the Interstellar Cooling Lines Detected by COBE'],1994
"[u'Tegmark, Max', u'Bunn, Emory F.', u'Hu, Wayne']",12,,18.0,The Astrophysical Journal,[u'Power-Spectrum--independent Constraints on Cosmological Models'],1994
"[u'Maoz, Dan', u'Gould, Andrew']",40,,16.0,The Astrophysical Journal,[u'A Spectroscopic Method to Measure MACHO Proper Motions'],1994
"[u'Roszkowski, Leszek']",1,6.0,21.0,ArXiv e-prints,[u'Supersymmetric Dark Matter - a Review'],1993
"[u'Hindmarsh, Mark']",38,,,The Astrophysical Journal,[u'Small-Scale Microwave Background Fluctuations from Cosmic Strings'],1994
"[u'Brown, G. E.', u'Lee, Chang-Hwan', u'Rho, Mannque', u'Thorsson, Vesteinn']",212,,20.0,Nuclear Physics A,[u'From kaon-nuclear interactions to kaon condensation'],1994
"[u'Laor, Ari', u'Bahcall, John N.', u'Jannuzi, Buell T.', u'Schneider, Donald P.', u'Green, Richard F.', u'Hartig, George F.']",74,,6.0,The Astrophysical Journal,[u'The Ultraviolet Emission Properties of Five Low-Redshift Active Galactic Nuclei at High Signal-to-Noise Ratio and Spectral Resolution'],1994
"[u'Fakir, Redouane']",2,,,ArXiv General Relativity and Quantum Cosmology e-prints,[u'Early Direct Detection of Gravity Waves'],1993
"[u'Brandenberger, Robert H.', u'Davis, Anne-Christine']",64,,12.0,Physics Letters B,[u'Electroweak baryogenesis with electroweak strings'],1993
"[u'Johnson, P. A.']",4,,11.0,Astroparticle Physics,[u'Contribution to the local cosmic-ray flux from the Geminga supernova'],1994
"[u'Myint, Stanley']",67,,9.0,Physics Letters B,[u'Baryogenesis constraints on the minimal supersymmetric model'],1992
"[u'Copeland, Edmund J.', u'Liddle, Andrew R.', u'Lyth, David H.', u'Stewart, Ewan D.', u'Wands, David']",760,,37.0,Physical Review D,[u'False vacuum inflation with Einstein gravity'],1994
"[u'Gunderson, Mark A.', u'Jensen, Lars Gerhard']",18,,18.0,Physical Review D,[u'Boson stars in the Brans-Dicke gravitational theories'],1993
"[u'Sackett, Penny D.', u'Gould, Andrew']",58,,30.0,The Astrophysical Journal,[u'MACHOs in a Flattened Halo'],1993
"[u'Kiefer, C.', u'Martinez, E. A.']",6,,10.0,Classical and Quantum Gravity,[u'On time and the quantum-to-classical transition in Jordan-Brans-Dicke quantum gravity'],1993
"[u'Ulmer, Andrew']",2,,10.0,The Astrophysical Journal,"[u""Gamma Rays from Grazing Incidence Cosmic Rays in the Earth's Atmosphere""]",1994
"[u'Schaefer, R. K.', u'Gaisser, T. K.', u'Stanev, T. S.']",0,4.0,12.0,Physical Review D,[u'Calculated electron fluxes at airplane altitudes'],1993
"[u'Bahcall, John N.']",0,,4.0,Nuclear Physics B Proceedings Supplements,[u'Recent work on standard solar models'],1993
"[u'Primack, J. R.']",11,,,Critical Dialogues in Cosmology,[u'The best Theory of Cosmic Structure Formation is COLD+HOT Dark Matter (chdm)'],1997
"[u'Kofman, Lev', u'Bertschinger, Edmund', u'Gelb, James M.', u'Nusser, Adi', u'Dekel, Avishai']",139,9.0,33.0,The Astrophysical Journal,[u'Evolution of One-Point Distributions from Gaussian Initial Fluctuations'],1994
"[u'Page, Dany']",42,,26.0,The Astrophysical Journal,[u'Geminga: A Cooling Superfluid Neutron Star'],1994
"[u'Lucchin, F.', u'Matarrese, S.', u'Moscardini, L.', u'Tormen, G.']",0,,8.0,ArXiv e-prints,[u'Galaxy Velocity Field in Tilted Cold Dark Matter Models'],1993
"[u'Robin, Annie C.']",3,,,Astrophysics and Space Science,[u'Synthesis of Galactic Stellar Populations and Expected Constraints from Infrared Surveys'],1994
"[u'Meszaros, P.', u'Rees, M. J.']",103,,7.0,The Astrophysical Journal,[u'Gamma-Ray Bursts: Multiwaveband Spectral Predictions for Blast Wave Models'],1993
"[u'Valls-Gabaud, D.', u'Zannias, T.']",0,3.0,9.0,Physical Review D,[u'Mechanism of trapped surface formation'],1993
"[u'Zampieri, Luca', u'Turolla, Roberto', u'Treves, Aldo']",8,,18.0,The Astrophysical Journal,[u'Dynamically Comptonized Spectra from Near-critical Accretion onto Neutron Stars'],1993
"[u'Amendola, Luca', u'Bellisai, Diego', u'Occhionero, Franco']",16,4.0,10.0,Physical Review D,[u'Inflationary attractors and perturbation spectra in generally coupled gravity'],1993
"[u'Mauas, P. J. D.', u'Falchi, A.']",39,10.0,13.0,Astronomy and Astrophysics,[u'Atmospheric models of flare stars : the quiscent state of AD Leonis.'],1994
"[u'Norris, J. P.', u'Nemiroff, R. J.', u'Scargle, J. D.', u'Kouveliotou, C.', u'Fishman, G. J.', u'Meegan, C. A.', u'Paciesas, W. S.', u'Bonnell, J. T.']",162,4.0,18.0,The Astrophysical Journal,[u'Detection of Signature Consistent with Cosmological Time Dilation in Gamma-Ray Bursts'],1994
